address,categories,city,latitude,longitude,name,postalCode,province
162 Old Country Rd,Fast Food Restaurants,Riverhead,40.937359,-72.650142,Seven-Eleven,11901,NY
1611 Broadway,Fast Food,Brooklyn,40.685506,-73.914457,Checkers,11207,NY
1224 State St,Fast Food,Schenectady,42.79792,-73.924364,McDonald's,12304,NY
1232 Ulster Ave,Fast Food Restaurant,Kingston,41.967079,-73.988583,McDonald's,12401,NY
1188 Avenue of The Americas,Fast Food Restaurant,New York,40.757558,-73.981671,McDonald's,10036,NY
114 Delancey St,Fast Food Restaurant,New York,40.718943,-73.988306,McDonald's,10002,NY
1050 Front St,Fast Food Restaurants,Uniondale,40.709646,-73.591453,McDonald's,11553,NY
105 Jericho Tpke,Fast Food Restaurant,Jericho,40.780233,-73.55934,McDonald's,11753,NY
105 Jericho Tpke,Fast Food,Jericho,40.780233,-73.55934,McDonald's,11753,NY
106 Wolf Rd,Fast Food Restaurants,Albany,42.716812,-73.809319,McDonald's,12205,NY
101 E 170th St,Fast Food,Bronx,40.839569,-73.915927,McDonald's,10452,NY
103 Brookview Dr,Fast Food,Schenectady,42.741061,-73.913673,McDonald's,12303,NY
1028 Mckinley Pkwy,Fast Food Restaurants,Buffalo,42.857899,-78.825089,McDonald's,14220,NY
10 Main St,Fast Food Restaurants,Tonawanda,43.021019,-78.878167,McDonald's,14150,NY
2680 Market St,Fast food restaurants,Christiansburg,37.16537,-80.422283,Burger King,24073,VA
2650 Market St,Fast Food Restaurant,Christiansburg,37.166086,-80.422225,Arby's,24073,VA
2680 Market St,Fast Food Restaurant,Christiansburg,37.16537,-80.422283,Burger King,24073,VA
1004 S Main St,Fast food restaurants,Farmville,37.289041,-78.397491,Burger King,23901,VA
1709 Allied Ln,Fast Food Restaurants,Charlottesville,38.04129,-78.47775,Glorious Foods Gourmet to go & Catering,22903,VA
707 Washington Ave,Fast Food,Chestertown,39.224652,-76.06993,Arby's,21620,MD
707 Washington Ave,Fast Food Restaurant,Chestertown,39.224652,-76.06993,Arby's,21620,MD
6385 Dobbin Rd,Fast food restaurants,Columbia,39.196116,-76.82101,McDonald's,21045,MD
6241 Washington Blvd,Fast Food Restaurant,Elkridge,39.208926,-76.724769,Burger King,21075,MD
470 Cummings St,Fast Food,Abingdon,36.705143,-81.974501,Arby's,24210,VA
470 Cummings St,Fast Food Restaurants,Abingdon,36.705143,-81.974501,Arby's,24210,VA
6308 Richmond Hwy,"Sandwich Place, Pizza Place, and Fast Food Restaurant",Alexandria,38.78022,-77.07939,Jerry's Subs & Pizza,22306,VA
6308 Richmond Hwy,Fast Food Restaurants,Alexandria,38.78022,-77.07939,Jerry's Subs & Pizza,22306,VA
313 Middle Country Rd,Fast food restaurants,Coram,40.869655,-72.999817,McDonald's,11727,NY
9711 Fort Meade Rd,Fast Food Restaurants,Laurel,39.095464,-76.837806,Jerry's Subs & Pizza,20707,MD
92 W Market St,Fast Food Restaurants,Corning,42.1439,-77.0583,Rico's Pizza & Subs,14830,NY
2 Wicks Blvd,Fast Food Restaurants,Corning,42.13151,-77.03608,B's Pizza,14830,NY
1104 Sunrise Hwy,Fast food restaurants,Amityville,40.689896,-73.408119,Burger King,11701,NY
2619 Brandermill Blvd,Fast Food Restaurant and Burger Joint,Gambrills,39.037925,-76.678372,Burger King,21054,MD
104 School St,Fast Food Restaurants,Glen Cove,40.8672,-73.6307,Domino's Pizza,11542,NY
2188 Great Neck Sq,Fast Food Restaurants,Virginia Beach,36.875281,-76.038915,Hardee's,23454,VA
505 W 21st St,Fast Food Restaurants,Norfolk,36.869021,-76.291956,Hardee's,23517,VA
5000 W Broad St,Fast Food Restaurant,Richmond,37.585167,-77.496783,Hardee's,23230,VA
3011 Hershberger Rd NW,Fast Food Restaurant,Roanoke,37.303452,-79.983783,Hardee's,24017,VA
850 London Blvd,Fast Food Restaurant,Portsmouth,36.836845,-76.308136,Hardee's,23704,VA
1032 E Main St,Fast Food Restaurant,Pulaski,37.048369,-80.759749,Hardee's,24301,VA
8405 Hampton Blvd,Fast Food Restaurants,Norfolk,36.929187,-76.317875,Hardee's,23505,VA
430 Denbigh Blvd,Fast Food Restaurant,Newport News,37.131199,-76.532961,Hardee's,23608,VA
3750 Candlers Mountain Rd,Fast Food Restaurant,Lynchburg,37.365812,-79.172249,Hardee's,24502,VA
501 S Hicks St,Fast Food Restaurant,Lawrenceville,36.752234,-77.852597,Hardee's,23868,VA
2231 Langhorne Rd,Fast Food Restaurant,Lynchburg,37.412957,-79.173991,Hardee's,24501,VA
8010 Sudley Rd,Fast Food Restaurant,Manassas,38.78166,-77.51244,Wendy's,20109,VA
4513 Williamson Rd NW,"Pizza Place, Fast Food Restaurant, and Italian Restaurant Preston Park",Roanoke,37.313592,-79.952038,Papa John's Pizza,24012,VA
1783 Roanoke Rd,"Pizza Place, Italian Restaurant, and Fast Food Restaurant",Daleville,37.41027,-79.913083,Papa John's Pizza,24083,VA
7602 13th Ave,Fast Food,Brooklyn,40.619683,-74.008071,Dunkin' Donuts,11228,NY
56 Court St,Fast Food,Brooklyn,40.692187,-73.991162,Dunkin' Donuts,11201,NY
1309 Fulton St,Fast Food,Brooklyn,40.680355,-73.948909,Dunkin' Donuts,11216,NY
4115 3rd Ave,Fast Food,Bronx,40.844458,-73.89729,Dunkin' Donuts,10457,NY
3732 E Tremont Ave,Fast Food,Bronx,40.826478,-73.821994,Dunkin' Donuts,10465,NY
10721 Jefferson Ave,Fast Food Restaurant and Burger Joint South Newport News,Newport News,37.051114,-76.460806,Burger King,23601,VA
1301 S Salisbury Blvd,Fast Food Restaurants,Salisbury,38.342966,-75.604458,Hardee's,21801,MD
718 Nursery Rd,Fast Food Restaurants,Linthicum Heights,39.224397,-76.659193,Hardee's,21090,MD
800 Woods Rd,Fast Food Restaurants,Cambridge,38.557459,-76.060385,Hardee's,21613,MD
5003a Victory Blvd,Fast Food Restaurant,Yorktown,37.115608,-76.468184,Chick-fil-A,23693,VA
6732 Mooretown Rd,Fast Food Restaurants,Williamsburg,37.33953,-76.738285,Chick-fil-A,23188,VA
5409 Indian River Rd,Fast Food Restaurants,Virginia Beach,36.798702,-76.178946,Chick-fil-A,23464,VA
4802 Valley View Blvd NW,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Roanoke,37.308619,-79.962426,Chick-fil-A,24012,VA
4802 Valley View Blvd NW,Fast Food Restaurant,Roanoke,37.308619,-79.962426,Chick-fil-A,24012,VA
4374 Electric Rd,Fast Food Restaurants,Roanoke,37.228457,-79.977693,Chick-fil-A,24018,VA
9100 W Broad St,Fast Food Restaurants,Henrico,37.636558,-77.549903,Chick-fil-A,23294,VA
1205 N Military Hwy,Fast Food Restaurant,Norfolk,36.864964,-76.210719,Chick-fil-A,23502,VA
2901 Candlers Mountain Rd,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Lynchburg,37.36773,-79.175586,Chick-fil-A,24502,VA
2140 Coliseum Dr,Fast Food Restaurants,Hampton,37.048521,-76.390717,Chick-fil-A,23666,VA
1698 Carl D Silver Pkwy,Fast Food Restaurant,Fredericksburg,38.305008,-77.509345,Chick-fil-A,22401,VA
325 Piedmont Dr,Fast Food Restaurant,Danville,36.595957,-79.422353,Chick-fil-A,24540,VA
4412 Chantilly Pl,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Chantilly,38.887485,-77.444623,Chick-fil-A,20151,VA
1576 Rio Rd E,Fast Food Restaurants,Charlottesville,38.078584,-78.473337,Chick-fil-A,22901,VA
350 Woodbrook Dr,Fast Food Restaurants,Charlottesville,38.088272,-78.471184,Chick-fil-A,22901,VA
8428 Baltimore Ave,Fast Food Restaurants,College Park,38.993906,-76.932576,Taco Bell,20740,MD
8428 Baltimore Ave,Fast Food Restaurant,College Park,38.993906,-76.932576,Taco Bell,20740,MD
3201 E Ocean View Ave,Fast Food Restaurants,Norfolk,36.932528,-76.203127,Chanello's Pizza,23518,VA
215 E 201st St,Fast Food,Bronx,40.872503,-73.886546,Dunkin' Donuts,10458,NY
2241 Southern Blvd,Fast Food,Bronx,40.84862,-73.883004,Dunkin' Donuts,10460,NY
1285 Castle Hill Ave,Fast Food,Bronx,40.833843,-73.851523,Dunkin' Donuts,10462,NY
3114 Ditmars Blvd,Fast Food,Astoria,40.775826,-73.910275,Dunkin' Donuts,11105,NY
345 Spotsylvania Mall,Bakery & Pastries / American / Fast Food,Fredericksburg,38.292937,-77.513196,Auntie Anne's Pretzels,22407,VA
6108C Arlington Blvd,Fast Food Restaurant,Falls Church,38.868724,-77.144013,Chick-fil-A,22044,VA
6108C Arlington Blvd,Fast Food Restaurants,Falls Church,38.868724,-77.144013,Chick-fil-A,22044,VA
4675 Cleburne Blvd,"Fast Food Restaurant, Sandwich Place, and American Restaurant",Dublin,37.084733,-80.690316,Arby's,24084,VA
75 Market Street,Fast Food Restaurant,Gordonsville,37.979247,-78.210747,Arby's,22942,VA
1282 S Boston Rd,Fast food restaurants,Danville,36.582443,-79.351877,Burger King,24540,VA
7878 Pocomoke Dr,Fast Food Restaurants,Jessup,39.167616,-76.783963,McDonald's,20794,MD
7053 Arundel Mills Cir,Fast Food Restaurant,Hanover,39.153002,-76.723817,McDonald's,21076,MD
4396 Montgomery Rd,Fast Food Restaurant,Ellicott City,39.250777,-76.813101,McDonald's,21043,MD
226 Belle Hill Rd,Fast food restaurants,Elkton,39.635133,-75.805571,McDonald's,21921,MD
2222 Dundalk Ave,Fast Food Restaurant,Dundalk,39.264906,-76.527427,McDonald's,21222,MD
2222 Dundalk Ave,Fast Food Restaurant Saint Helena,Dundalk,39.264906,-76.527427,McDonald's,21222,MD
10 Maryland Ave,Fast Food Restaurant,Crisfield,37.991003,-75.844143,McDonald's,21817,MD
7244 Cradlerock Way,Fast Food Restaurant,Columbia,39.185679,-76.843415,McDonald's,21045,MD
6095 Daybreak Cir,Fast Food,Clarksville,39.210178,-76.937833,McDonald's,21029,MD
875 Washington Ave,Fast Food Restaurant,Chestertown,39.225371,-76.070907,McDonald's,21620,MD
6447 Baltimore National Pike,Fast Food Restaurant,Catonsville,39.284946,-76.759683,McDonald's,21228,MD
942 Flatbush Ave,Fast Food Restaurant,Brooklyn,40.648476,-73.958572,KFC,11226,NY
18234 Maugans Ave,Fast Food Restaurant,Hagerstown,39.691607,-77.738818,Burger King,21740,MD
17532 Valley Mall Rd,Fast Food Restaurant,Hagerstown,39.626191,-77.767691,Burger King,21740,MD
10516 Sharpsburg Pike,Fast Food Restaurant,Hagerstown,39.600468,-77.729678,Burger King,21740,MD
